TransactionID,CustomerID,Amount,TransactionType,Location,DeviceType,TimeOfDay,PreviousFraud,TransactionSpeed,Fraud
70,3061,4970.189068,Transfer,Los Angeles,ATM,Night,1,57.43373965,0
71,1241,1241.951726,Deposit,Chicago,ATM,Afternoon,0,47.54723766,0
72,3041,,Transfer,Chicago,ATM,Morning,0,44.81470289,0
73,3824,3513.590782,Transfer,Miami,ATM,Morning,0,42.96137593,0
74,4417,7730.672433,Deposit,Chicago,Laptop,Afternoon,1,7.518939951,0
75,3612,8033.673411,Deposit,Houston,Mobile,Morning,0,57.08748958,0
76,3945,1542.594695,Withdrawal,Los Angeles,Mobile,Night,0,18.25675065,0
77,2363,3671.846362,Withdrawal,Los Angeles,Mobile,Night,0,9.518011386,0
78,3139,3739.798079,Deposit,New York,Laptop,Night,1,2.098890385,1
79,2390,1522.590335,Withdrawal,New York,ATM,Afternoon,0,23.81853899,0
80,4003,7986.550515,Withdrawal,Houston,ATM,Night,0,40.68374319,0
81,2478,7075.211,Withdrawal,New York,Mobile,Night,0,24.11550007,0
82,4499,1911.914045,Deposit,Miami,ATM,Night,0,48.7160612,0
83,3556,3673.551867,Purchase,Miami,Laptop,Night,1,11.71252475,1
84,1775,1066.992198,Purchase,Los Angeles,POS,Night,0,11.01363165,0
85,1034,6285.783905,Withdrawal,Miami,ATM,Night,0,16.71354964,0
86,3253,1222.505526,Purchase,New York,POS,Afternoon,0,4.202344736,0
87,4152,9859.482345,Withdrawal,Houston,POS,Night,0,50.5044041,0
88,2955,7809.013926,Purchase,Miami,POS,Afternoon,1,8.962024705,1
89,2585,3908.48311,Purchase,Los Angeles,ATM,Afternoon,0,23.42338665,0
90,4943,5789.853683,Transfer,Los Angeles,POS,Afternoon,0,28.31543174,0
91,4459,9114.304744,Withdrawal,New York,ATM,Night,1,14.85899406,0
92,4073,5545.451811,Purchase,Miami,Mobile,Night,0,53.18954196,0
93,2021,1753.239879,Purchase,New York,Laptop,Afternoon,0,44.40979031,0
94,4461,3793.246522,Transfer,Los Angeles,POS,Afternoon,0,2.660499232,0
95,3613,8433.017202,Purchase,Houston,POS,Night,0,26.88080198,0
96,2129,6445.68803,Transfer,Miami,Mobile,Morning,0,9.128758399,0
97,4843,6510.736599,Purchase,Houston,Laptop,Morning,1,38.6979025,1
98,4893,8669.546642,Transfer,Miami,Mobile,Morning,0,30.10234517,0
99,2500,8940.790844,Transfer,Los Angeles,Laptop,Night,0,48.7021031,0
100,1702,9198.727792,Deposit,Miami,POS,Afternoon,0,41.36462945,0
101,3449,957.5434406,Withdrawal,Los Angeles,Laptop,Morning,0,49.29329909,0
102,3777,5445.81876,Deposit,Chicago,Mobile,Afternoon,0,52.70357258,0
103,2579,7407.690117,Withdrawal,Los Angeles,POS,Night,0,11.65771565,0
104,1161,7571.699183,Purchase,Los Angeles,Mobile,Afternoon,1,35.42991063,0
105,1201,6071.094858,Withdrawal,Miami,POS,Morning,0,10.39190097,0
106,2981,1676.205478,Deposit,Houston,ATM,Night,0,15.35757546,0
107,1995,7976.231334,Withdrawal,Los Angeles,POS,Afternoon,1,14.41882635,0
108,3317,7203.912222,Deposit,Miami,Laptop,Night,0,21.83334625,0
109,4934,870.4963578,Withdrawal,Los Angeles,Laptop,Morning,0,47.48426206,0
110,1815,4643.460148,Purchase,New York,Laptop,Morning,0,19.72473952,0
111,4342,1748.034221,Purchase,New York,Laptop,Morning,0,44.96148236,0
112,1455,3381.395687,Withdrawal,New York,Laptop,Night,0,1.04778556,0
113,4533,190.6301111,Withdrawal,New York,ATM,Night,1,35.13835233,1
114,4798,4009.295385,Purchase,Houston,POS,Morning,0,17.59090932,0
115,2275,5503.270442,Withdrawal,Los Angeles,POS,Night,1,44.77099101,1
116,2016,6199.630102,Transfer,New York,ATM,Night,0,59.47474399,0
117,4773,6638.268548,Purchase,Miami,ATM,Morning,0,32.405125,0
118,3343,,Purchase,New York,Laptop,Morning,0,32.44251885,0
119,4796,2162.474444,Deposit,Chicago,Mobile,Afternoon,1,58.4905521,1
120,3767,1213.613406,Deposit,Chicago,Mobile,Morning,0,22.19447143,0
121,4820,8516.856347,Transfer,Houston,Laptop,Night,0,24.38113163,0
122,1337,1574.562021,Withdrawal,Chicago,ATM,Afternoon,0,42.10050351,0
123,1878,9747.853213,Transfer,Miami,POS,Night,1,30.09908473,1
124,2076,8426.956912,Withdrawal,New York,Mobile,Afternoon,0,46.3640128,0
125,1791,5013.757293,Deposit,Chicago,Mobile,Night,0,25.27031092,0
126,4993,9814.400035,Withdrawal,Chicago,ATM,Afternoon,0,41.64599247,0
127,3264,982.7935238,Deposit,Houston,Laptop,Afternoon,1,46.43690253,0
128,1763,3037.626954,Purchase,Chicago,POS,Night,1,38.92666325,1
129,3235,6385.861906,Purchase,New York,Laptop,Afternoon,0,12.9289484,0
130,1379,3506.568616,Withdrawal,Los Angeles,Laptop,Night,1,31.45807171,1
131,1492,9284.441794,Deposit,New York,Laptop,Night,0,58.02198536,0
132,4112,665.6046209,Transfer,Chicago,Laptop,Afternoon,0,7.150644856,0
133,2180,5498.624202,Deposit,Chicago,Mobile,Morning,1,42.60593506,1
134,3062,5912.754011,Deposit,Chicago,ATM,Morning,0,47.49918365,0
135,4884,,Deposit,Houston,POS,Morning,0,40.82657761,0
136,1064,2564.105571,Purchase,Miami,Mobile,Night,0,7.644448341,0
137,4928,3652.018611,Deposit,New York,POS,Night,0,5.412072876,0
138,4910,8438.368491,Withdrawal,Chicago,POS,Morning,0,30.89553032,0
139,3568,1957.478262,Purchase,Los Angeles,Mobile,Night,0,19.93947829,0
140,2367,8270.409793,Purchase,Houston,Mobile,Morning,0,24.04015053,0
141,2152,5630.927675,Purchase,Miami,POS,Night,1,17.09610376,0
142,3027,7624.253237,Deposit,Chicago,POS,Night,0,49.36106941,0
143,3695,7138.937589,Transfer,New York,ATM,Night,0,51.15263908,0
144,2495,2083.039839,Deposit,Los Angeles,Mobile,Morning,0,1.962720727,0
145,4134,5692.439237,Deposit,Houston,Mobile,Afternoon,0,48.98577412,0
146,2162,8678.554297,Transfer,New York,POS,Night,0,40.72800399,0
147,2522,4326.841206,Deposit,New York,POS,Night,1,27.80894629,0
148,3640,9666.241795,Withdrawal,Houston,Laptop,Morning,0,5.882369097,0
149,1391,4527.62885,Transfer,New York,POS,Morning,0,40.45272392,0
150,2698,1436.42851,Withdrawal,Los Angeles,POS,Night,1,16.5387787,1
151,1418,3900.452454,Withdrawal,Los Angeles,ATM,Night,1,33.43094093,1
152,3336,9517.50704,Purchase,New York,POS,Afternoon,0,14.0842807,0
153,1378,3204.011285,Purchase,Chicago,Laptop,Night,0,52.79330045,0
154,2796,8682.300617,Transfer,New York,Laptop,Night,1,21.59863888,0
155,4561,8813.69431,Deposit,Chicago,Mobile,Night,0,41.51531912,0
156,3278,3508.363378,Withdrawal,New York,Laptop,Afternoon,1,30.1181372,0
157,4065,841.7440039,Deposit,Miami,Mobile,Night,0,54.94580105,0
158,3088,7248.333512,Withdrawal,Los Angeles,POS,Afternoon,0,14.44626472,0
159,4099,3122.007867,Purchase,New York,Laptop,Morning,1,57.36292698,0
160,3182,7831.406906,Purchase,Los Angeles,ATM,Night,0,45.38801909,0
161,1200,4432.121934,Purchase,Houston,ATM,Night,0,42.36191444,0
162,2863,4857.814756,Transfer,Miami,Laptop,Night,0,50.59446137,0
163,1779,7781.314973,Withdrawal,Chicago,Mobile,Night,0,39.44893382,0
164,3977,3829.809677,Deposit,Houston,Mobile,Afternoon,1,7.500102068,0
165,4104,,Withdrawal,Miami,Mobile,Morning,0,42.20702298,0
166,4119,3768.142783,Deposit,Houston,Laptop,Morning,1,26.82544031,0
167,1502,3679.731748,Deposit,Los Angeles,POS,Afternoon,1,33.65684397,0
168,3454,5264.206303,Deposit,Miami,POS,Afternoon,0,25.09157794,0
169,4645,8089.906451,Withdrawal,Houston,POS,Afternoon,1,11.0953765,0
170,2751,3624.065436,Purchase,Chicago,Mobile,Afternoon,0,29.60256078,0
171,1804,5247.304658,Transfer,Miami,Laptop,Night,1,4.7072778,0
172,3146,,Transfer,Miami,ATM,Night,1,4.168679759,0
173,3731,2701.700069,Purchase,Houston,POS,Afternoon,0,32.45927715,0
174,2895,2782.452821,Transfer,New York,POS,Night,1,11.63827965,0
175,3773,9334.797139,Deposit,Chicago,Mobile,Night,0,37.79496165,0
176,2570,7238.110388,Transfer,Chicago,POS,Morning,0,12.26546227,0
177,1960,5776.094895,Withdrawal,Houston,Laptop,Night,0,48.50859601,0
178,4810,6480.723344,Purchase,Los Angeles,POS,Morning,0,9.629549064,0
179,3660,302.7014366,Purchase,Los Angeles,Mobile,Night,0,27.19375089,0
180,2485,6184.848626,Purchase,New York,Laptop,Morning,0,28.47881286,0
181,3690,5099.993644,Purchase,New York,Mobile,Morning,0,37.58768507,0
182,4840,5462.039301,Withdrawal,Houston,ATM,Morning,0,24.73413485,0
183,2028,3600.64403,Deposit,Los Angeles,POS,Morning,1,39.75241509,1
184,4289,823.9242382,Deposit,Chicago,Laptop,Afternoon,0,46.2223487,0
185,1502,1941.458944,Deposit,Los Angeles,Laptop,Night,0,8.249404851,0
186,3814,9507.939685,Transfer,Houston,POS,Afternoon,0,5.329843793,0
187,1397,4092.908627,Deposit,Los Angeles,ATM,Night,0,40.97025283,0
188,1870,4672.164727,Transfer,Miami,ATM,Afternoon,0,51.34665169,0
189,3842,,Withdrawal,Houston,POS,Night,1,29.3058626,1
190,1392,385.2866331,Transfer,Miami,POS,Afternoon,0,38.31936571,0
191,1206,7174.642656,Deposit,Houston,POS,Afternoon,0,18.58785762,0
192,2038,5385.565695,Purchase,Chicago,Mobile,Morning,1,52.5963298,0
193,2881,5091.972782,Withdrawal,Houston,Laptop,Afternoon,0,46.51861892,0
194,4625,,Deposit,Houston,Laptop,Morning,0,35.64374649,0
195,3939,7450.059809,Deposit,Houston,POS,Morning,1,19.08937169,0
196,2484,1690.683425,Deposit,Houston,Mobile,Afternoon,0,26.8455073,0
197,4762,1907.448089,Withdrawal,New York,Mobile,Night,0,17.48814175,0
198,4646,4612.514592,Purchase,Miami,Laptop,Afternoon,1,26.45993718,1
199,1863,2869.935822,Purchase,Houston,ATM,Morning,1,3.937233006,1
200,3790,2482.155183,Purchase,Houston,POS,Morning,0,7.233114695,0
201,4312,6455.924069,Deposit,New York,POS,Afternoon,0,13.81592485,0
202,1563,6513.207735,Transfer,Los Angeles,Mobile,Afternoon,0,54.33583698,0
203,2020,8246.925527,Deposit,New York,Laptop,Afternoon,0,28.45874738,0
204,1095,4182.908584,Purchase,New York,Mobile,Afternoon,0,29.353842,0
205,2923,740.1200594,Withdrawal,New York,ATM,Night,0,32.19422694,0
206,2757,2743.927185,Transfer,Houston,Laptop,Morning,0,30.51105786,0
207,3532,9800.254577,Transfer,New York,POS,Afternoon,1,6.086298204,0
208,4478,5966.623167,Deposit,New York,Laptop,Afternoon,1,20.08625812,0
209,3278,7100.273477,Withdrawal,New York,Laptop,Afternoon,1,4.981256579,1
210,3796,83.50471796,Transfer,Houston,POS,Morning,0,5.108122178,0
211,2678,5186.875265,Purchase,Chicago,ATM,Morning,1,5.556080557,0
212,4242,384.9112887,Deposit,Chicago,Mobile,Morning,0,53.94883208,0
213,1540,5696.609819,Deposit,Los Angeles,ATM,Afternoon,0,13.91913475,0
214,2059,9208.500788,Purchase,Houston,ATM,Morning,0,4.971788019,0
215,3572,9684.507114,Purchase,New York,ATM,Afternoon,1,1.168483948,1
216,2183,5410.121227,Purchase,New York,Laptop,Afternoon,0,37.18255718,0
217,4910,4587.466004,Transfer,New York,ATM,Night,0,37.40157134,0
218,2722,9450.720772,Withdrawal,Chicago,Laptop,Night,0,16.63135666,0
219,4314,6739.362222,Transfer,New York,Laptop,Night,1,17.52394753,1
220,4157,658.3438026,Withdrawal,New York,Mobile,Morning,1,20.95325067,0
221,2819,4662.598521,Deposit,Chicago,Mobile,Night,1,21.89161248,0
222,3625,2410.047734,Withdrawal,New York,ATM,Morning,1,46.84327174,1
223,3729,4703.345171,Purchase,Los Angeles,Laptop,Afternoon,0,56.43666131,0
224,3604,4560.101064,Transfer,Miami,POS,Night,0,35.70435619,0
225,2597,5825.62658,Purchase,Los Angeles,Laptop,Night,1,24.12988528,0
226,4060,3574.137199,Deposit,Houston,Mobile,Morning,1,18.39282308,1
227,3693,1651.06179,Transfer,Los Angeles,POS,Morning,0,49.93985742,0
228,1795,5042.157152,Transfer,Los Angeles,Laptop,Night,0,6.314745321,0
229,2051,8303.726815,Purchase,Chicago,ATM,Morning,0,26.55801049,0
230,2643,6643.482158,Transfer,Houston,Laptop,Morning,1,40.25270608,0
231,4627,3390.294981,Purchase,Los Angeles,POS,Morning,1,15.78275214,0
232,2363,9355.874997,Withdrawal,Miami,ATM,Afternoon,1,8.939239142,1
233,4869,9122.953637,Deposit,Los Angeles,POS,Night,1,39.45573412,1
234,2981,2101.39051,Purchase,New York,Mobile,Morning,0,36.3729139,0
235,2354,,Deposit,Chicago,Mobile,Morning,0,37.53822483,0
236,2663,7415.673996,Transfer,New York,Laptop,Afternoon,1,58.71466232,0
237,2529,8277.826511,Deposit,Houston,Laptop,Afternoon,0,20.05690201,0
238,3038,9678.967014,Deposit,Houston,Mobile,Afternoon,0,59.16338471,0
239,4419,8899.465577,Deposit,Chicago,POS,Afternoon,0,3.764560106,0
240,2496,6009.342334,Transfer,Los Angeles,POS,Night,0,3.384373518,0
241,4302,5305.222869,Withdrawal,Houston,ATM,Night,0,51.66056233,0
242,3237,288.1321021,Withdrawal,Miami,ATM,Morning,1,19.99610372,1
243,4296,2474.097904,Withdrawal,Chicago,ATM,Night,0,22.078274,0
244,2408,4601.55137,Purchase,New York,Mobile,Morning,1,4.019171395,1
245,2400,6288.753962,Purchase,Miami,Mobile,Night,0,1.140210498,0
246,2306,5576.945815,Transfer,Chicago,Mobile,Night,0,38.34206741,0
247,3680,7428.933537,Withdrawal,Miami,Laptop,Night,0,31.83897665,0
248,3675,2804.87164,Deposit,Chicago,POS,Morning,0,43.93617318,0
249,1972,5653.87655,Withdrawal,New York,Mobile,Morning,0,14.4221285,0
250,2768,890.5410115,Purchase,Los Angeles,ATM,Afternoon,0,51.00069645,0
251,2282,4142.518581,Transfer,Chicago,ATM,Morning,0,16.47027271,0
252,4430,7504.106721,Withdrawal,Houston,Mobile,Afternoon,0,27.42682521,0
253,1709,6937.074526,Purchase,New York,Mobile,Morning,0,22.72138697,0
254,2479,9906.520944,Purchase,New York,POS,Morning,0,51.45590347,0
255,2434,2786.132349,Deposit,Miami,ATM,Night,0,49.43979829,0
256,1648,4986.911099,Withdrawal,Houston,POS,Morning,0,27.06025727,0
257,1317,3302.008834,Deposit,Miami,Mobile,Night,0,22.08920732,0
258,4748,4411.625109,Withdrawal,New York,POS,Morning,0,47.34208156,0
259,4296,8570.931797,Transfer,Chicago,Laptop,Afternoon,0,13.61756852,0
260,4890,6845.248661,Withdrawal,Houston,Mobile,Morning,0,56.51539034,0
261,2257,8825.587502,Deposit,New York,ATM,Night,0,19.76014409,0
262,1683,2043.075972,Deposit,Houston,ATM,Night,1,28.33966314,1
263,1663,8734.877567,Purchase,Chicago,POS,Night,1,48.68985775,0
264,2998,607.025119,Withdrawal,Los Angeles,Mobile,Night,0,47.91393519,0
265,4898,8887.106812,Withdrawal,Miami,ATM,Morning,0,41.89485127,0
266,4445,3297.447057,Transfer,Miami,POS,Night,0,7.832788336,0
267,4743,3152.730458,Purchase,New York,POS,Night,0,15.28846787,0
268,2631,5125.764881,Deposit,New York,Mobile,Morning,0,43.09919897,0
269,2495,9407.494975,Withdrawal,Chicago,ATM,Night,0,51.70480096,0
270,4304,487.3358332,Purchase,New York,ATM,Afternoon,0,10.92427292,0
271,4763,3528.787441,Transfer,New York,ATM,Afternoon,0,59.3617191,0
272,2136,8567.154167,Purchase,New York,Mobile,Night,0,37.6512782,0
273,2853,3966.58423,Withdrawal,Houston,Mobile,Afternoon,0,49.45210455,0
274,2520,1999.577407,Withdrawal,Houston,Mobile,Night,1,47.34540971,0
275,3489,4253.693872,Transfer,Los Angeles,Laptop,Morning,0,7.326557356,0
276,1563,3861.66949,Transfer,Houston,POS,Afternoon,1,21.21503737,0
277,2291,9155.007853,Transfer,Miami,Laptop,Afternoon,0,28.04663468,0
278,4581,7621.724414,Deposit,Los Angeles,Laptop,Morning,0,16.34371601,0
279,4878,5056.104402,Purchase,New York,ATM,Afternoon,1,41.26116778,0
280,4457,9883.821962,Purchase,Miami,ATM,Night,0,34.12484238,0
281,4458,4658.122537,Purchase,Los Angeles,POS,Night,0,58.8754214,0
282,4184,591.7959299,Deposit,Los Angeles,POS,Afternoon,0,11.7802672,0
283,2636,2630.120475,Purchase,Miami,Mobile,Morning,0,34.10849177,0
284,4696,4366.344097,Transfer,Los Angeles,ATM,Night,0,54.10776209,0
285,3999,1577.457215,Purchase,Miami,Laptop,Night,0,3.334411405,0
286,4152,9476.175612,Deposit,Los Angeles,POS,Afternoon,0,30.36424971,0
287,1698,7670.820489,Deposit,Los Angeles,POS,Morning,0,13.56702099,0
288,3160,2690.189132,Purchase,Los Angeles,Laptop,Night,0,57.53619541,0
289,1001,5912.13729,Deposit,Miami,Mobile,Morning,0,40.25913199,0
290,1641,,Deposit,Los Angeles,ATM,Afternoon,0,17.10295982,0
291,3267,9413.3765,Purchase,Houston,ATM,Afternoon,1,59.40046057,1
292,2589,8817.537138,Deposit,Houston,Laptop,Night,1,13.87829612,1
293,1854,5156.770339,Deposit,Houston,Mobile,Morning,0,20.52955694,0
294,2759,7748.779672,Purchase,Houston,Laptop,Morning,1,40.83395826,0
295,4296,5625.826091,Transfer,Houston,ATM,Afternoon,0,34.48283302,0
296,3432,5531.511862,Transfer,New York,Laptop,Afternoon,0,49.64421,0
297,4474,1156.272164,Deposit,Los Angeles,Laptop,Afternoon,0,40.48898237,0
298,2661,1270.115204,Withdrawal,Chicago,ATM,Afternoon,1,35.11266838,0
299,2153,5300.040814,Withdrawal,New York,ATM,Afternoon,0,20.79562098,0
300,2076,2695.926834,Purchase,Miami,ATM,Night,0,18.45377211,0
301,2707,220.1586556,Purchase,New York,Laptop,Night,0,6.779593288,0
302,3777,7231.163647,Transfer,Chicago,Laptop,Morning,0,24.77390771,0
303,2695,334.5411009,Withdrawal,New York,Laptop,Night,1,47.56072599,0
304,2733,5956.815643,Purchase,Los Angeles,Mobile,Night,1,17.78589114,1
305,2439,5396.546003,Withdrawal,Houston,POS,Night,0,52.98635652,0
306,3294,9688.458759,Withdrawal,Los Angeles,Mobile,Morning,1,48.28004446,1
307,1835,4847.289262,Deposit,New York,POS,Night,0,59.86019756,0
308,4510,645.3783494,Deposit,Chicago,ATM,Morning,0,43.82224596,0
309,1202,5521.362798,Withdrawal,Miami,POS,Morning,0,3.904726534,0
310,4255,8412.550744,Transfer,Los Angeles,Mobile,Night,1,36.01184536,0
311,1122,9968.52435,Purchase,Chicago,ATM,Night,1,18.80478697,1
312,1400,4309.128305,Purchase,Miami,POS,Night,1,56.96324438,0
313,1766,3209.784438,Transfer,Houston,POS,Afternoon,0,43.01206128,0
314,1293,9067.466437,Deposit,Los Angeles,POS,Morning,0,47.18258257,0
315,3327,1920.508869,Deposit,Los Angeles,Laptop,Morning,0,34.11975515,0
316,4908,6158.134861,Transfer,Houston,ATM,Afternoon,0,58.05156523,0
317,3931,4063.087098,Transfer,Houston,Laptop,Afternoon,0,11.06748835,0
318,4681,420.4128259,Deposit,New York,ATM,Night,0,23.96826236,0
319,1197,3479.411858,Withdrawal,Miami,POS,Afternoon,1,30.50285735,0
320,4029,2659.63294,Deposit,Chicago,POS,Afternoon,1,33.65038876,1
321,2930,6864.050628,Withdrawal,Houston,Mobile,Afternoon,0,46.8057326,0
322,4582,9488.417072,Purchase,New York,POS,Morning,0,43.98200045,0
323,3799,2687.791402,Purchase,Miami,Laptop,Afternoon,0,4.229836471,0
324,3191,8116.544732,Withdrawal,Miami,Laptop,Night,0,43.70051842,0
325,1608,563.0445712,Withdrawal,Los Angeles,POS,Morning,0,16.47824753,0
326,4272,5385.82889,Deposit,New York,Laptop,Morning,0,25.54925052,0
327,2147,714.7951365,Transfer,New York,POS,Afternoon,0,27.56089831,0
328,1186,9340.989581,Withdrawal,Los Angeles,Mobile,Afternoon,0,41.92064853,0
329,4397,7665.849293,Purchase,Chicago,Mobile,Afternoon,0,41.19710712,0
330,3511,6582.919613,Deposit,Houston,POS,Afternoon,0,23.33053146,0
331,4420,8240.724852,Purchase,Los Angeles,Mobile,Night,0,48.98085448,0
332,2794,6478.722758,Deposit,Houston,POS,Afternoon,1,8.167577564,1
333,1659,,Transfer,New York,Laptop,Night,1,14.73045696,1
334,3811,7142.439899,Transfer,Los Angeles,POS,Afternoon,0,26.05705153,0
335,4002,9247.33951,Purchase,Chicago,ATM,Afternoon,0,13.91236616,0
336,2955,5176.147601,Withdrawal,Houston,ATM,Night,1,55.72747442,1
337,3450,1179.473486,Withdrawal,Houston,POS,Afternoon,0,55.74012463,0
338,2369,5286.495437,Purchase,Houston,POS,Morning,0,11.06578996,0
339,2986,1277.459552,Withdrawal,New York,POS,Night,0,25.38105088,0
340,2534,5929.009857,Withdrawal,Houston,Mobile,Night,0,59.52808159,0
341,1146,4830.105675,Purchase,Miami,ATM,Morning,0,2.14567878,0
342,4219,6229.528224,Purchase,Houston,POS,Night,0,3.554309166,0
343,3911,110.3693407,Transfer,New York,POS,Afternoon,0,50.73277607,0
344,2734,1956.456512,Purchase,Los Angeles,Laptop,Night,0,23.54839938,0
345,2843,4918.391015,Transfer,Houston,Laptop,Night,0,44.11402463,0
346,1488,9505.53058,Transfer,Houston,Mobile,Morning,0,37.47418181,0
347,3976,3842.254313,Deposit,Los Angeles,Mobile,Night,0,41.9648738,0
348,2959,4249.47654,Withdrawal,Miami,ATM,Afternoon,0,12.64642975,0
349,2663,7149.813929,Purchase,New York,ATM,Night,0,33.27832203,0
350,3598,6041.889645,Withdrawal,Los Angeles,POS,Night,0,39.13265288,0
351,3385,2996.272239,Deposit,New York,ATM,Morning,0,33.5776991,0
352,3919,4114.055792,Purchase,Los Angeles,POS,Morning,0,56.73682587,0
